,Measured_dis,Real_dis,angle,error
1,20.7,21,5.6,0.3
2,21.53,21.4,11.2,0.13
3,21.54,21.9,16.8,0.36
4,21.61,22.1,22.4,0.49
5,21.99,22.4,28,0.41
6,22.01,22.9,33.6,0.89
7,23.59,23.4,39.2,0.19
8,24.63,25.1,44.8,0.47
9,25.45,26.2,50.4,0.75
10,27.46,28.3,56,0.84
11,29.98,31.9,61.6,1.92
12,34.23,35.4,67.2,1.17
13,32.94,37.9,72.8,4.96
14,33.52,36.1,78.4,2.58
15,31.99,34.8,84,2.81
16,30.52,33.7,89.6,3.18
17,30.53,32.8,95.2,2.27
18,28.48,32.1,100.8,3.62
19,27.99,31.7,106.4,3.71
20,27.32,31,112,3.68
21,26.77,31.7,117.6,4.93
22,26.74,31.2,123.2,4.46
23,25.94,31.9,128.8,5.96
24,26.94,31.4,134.4,4.46
25,27.02,33.1,140,6.08
26,26.56,31.4,145.6,4.84
27,26.5,31.1,151.2,4.6
28,24.54,28.3,156.8,3.76
29,24.16,27.3,162.4,3.14
30,23.34,25.4,168,2.06
31,23.37,25.1,173.6,1.73
32,23.06,24.4,179.2,1.34
33,23.04,24.1,184.8,1.06
34,23.04,24.3,190.4,1.26
35,23.34,24.9,196,1.56
36,23.65,24.6,201.6,0.95
37,23.59,25.2,207.2,1.61
38,23.62,25.7,212.8,2.08
39,23.63,26.2,218.4,2.57
40,24.53,26.8,224,2.27
41,25.38,29.2,229.6,3.82
42,27.98,28.5,235.2,0.52
43,27.94,27.8,240.8,0.14
44,28.03,28.3,246.4,0.27
45,27.98,28.8,252,0.82
46,27.98,29.1,257.6,1.12
47,28.01,30.1,263.2,2.09
48,27.93,28.9,268.8,0.97
49,27.96,30.5,274.4,2.54
50,27.98,30.9,280,2.92
51,28.01,31.4,285.6,3.39
52,28,33.2,291.2,5.2
53,27.96,34.2,296.8,6.24
54,27.98,34.9,302.4,6.92
55,27.97,35.1,308,7.13
56,28.02,31.2,313.6,3.18
57,28.26,29.9,319.2,1.64
58,26.3,27.4,324.8,1.1
59,25.21,27.2,330.4,1.99
60,25.27,26.5,336,1.23
61,24.24,25.2,341.6,0.96
62,21.89,23.4,347.2,1.51
63,21.05,22.1,352.8,1.05
64,20.4,21.8,358.4,1.4
